Date,GC1_Monthly_Return,GC2_Monthly_Return,GC1_volatility,GC2_volatility,GC2_OPEN_INT,GC2_1M_Sign,GC1_1M_Sign,GC2_3M_Ret,GC1_3M_Ret,GC2_3M_Sign,GC1_3M_Sign,GC2_6M_Ret,GC1_6M_Ret,GC2_6M_Sign,GC1_6M_Sign,GC2_12M_Ret,GC1_12M_Ret,GC2_12M_Sign,GC1_12M_Sign,GC2_3M_Fwd_Ret,GC1_3M_Fwd_Ret,GC2_3M_Fwd_Sign,GC1_3M_Fwd_Sign,GC2_6M_Fwd_Ret,GC1_6M_Fwd_Ret,GC2_6M_Fwd_Sign,GC1_6M_Fwd_Sign,GC2_12M_Fwd_Ret,GC1_12M_Fwd_Ret,GC2_12M_Fwd_Sign,GC1_12M_Fwd_Sign,GC1_OPEN_INT,GC1_sharpe,GC2_sharpe
1977-09-30,0.05245151026411499,0.0545291068374576,0.12518088536939054,0.12507489588967302,,1.0,1.0,0.07706334815959437,0.07380947656629999,1.0,1.0,0.035136991296286446,0.0335447821324113,1.0,1.0,0.2979649394073647,0.2898405666926491,1.0,1.0,0.09155875324679208,0.08803335120862954,1.0,1.0,0.23375551200629108,0.22871761388549405,1.0,1.0,0.3520728784261218,0.34722351549442987,1.0,1.0,,5.02806895247672,5.231659617983487
1977-10-31,0.05106682082299496,0.05170880907238384,0.12593394859154883,0.12603949461818914,,1.0,1.0,0.12188981760903683,0.11448479454521365,1.0,1.0,0.09816793263845014,0.09469572202203302,1.0,1.0,0.281427638666929,0.27324061130301924,1.0,1.0,0.08220444576603647,0.08133547597692292,1.0,1.0,0.17440453673175593,0.17463794586686188,1.0,1.0,0.3452932823148611,0.3431950394518539,1.0,1.0,,4.866057617739649,4.9231053389122295
1977-11-30,-0.01548497987848041,-0.014679162663049361,0.17441906697918783,0.17925799836653927,,-1.0,-1.0,0.09155875324679208,0.08803335120862954,1.0,1.0,0.11755200874072003,0.1100879807079913,1.0,1.0,0.20210939676878326,0.19741616428984798,1.0,1.0,0.0827013533310792,0.08197932635879646,1.0,1.0,0.04743034796903789,0.04741367444141886,1.0,1.0,0.3963159134545764,0.41626501558864426,1.0,1.0,,-1.0653637917002357,-0.9826616026159584
1977-12-31,0.04575363503240837,0.04517479935670199,0.19451117149951902,0.1975003204672383,,1.0,1.0,0.08220444576603647,0.08133547597692292,1.0,1.0,0.15926779392563084,0.1551449525432229,1.0,1.0,0.21683253014734305,0.21173010620684263,1.0,1.0,0.142196758759499,0.1406842626768645,1.0,1.0,0.14166214233404162,0.1401418650459183,1.0,1.0,0.19070692139982004,0.18730289034280023,1.0,1.0,,2.8226842507617,2.7447934818432254
1978-01-31,0.0517106712048685,0.05220571663742657,0.19890373931815739,0.20099411633651287,,1.0,1.0,0.0827013533310792,0.08197932635879646,1.0,1.0,0.20459117094011603,0.1964641209040101,1.0,1.0,0.28898719056376265,0.28353819392319046,1.0,1.0,0.09220009096571946,0.09330246988993895,1.0,1.0,0.0927370037302957,0.09112732495002973,1.0,1.0,0.31684627216446426,0.3115453526141643,1.0,1.0,,3.1197405166217287,3.1168504385484526
1978-02-28,0.04321995643958765,0.04481624276537044,0.1751425373459784,0.1766895871825941,,1.0,1.0,0.142196758759499,0.1406842626768645,1.0,1.0,0.23375551200629108,0.22871761388549405,1.0,1.0,0.24803661157170787,0.24313592736609202,1.0,1.0,-0.03527100536204131,-0.03456565191737759,-1.0,-1.0,0.1439575661708643,0.1422699920009709,1.0,1.0,0.27954396102961265,0.2750029028824672,1.0,1.0,,2.9612422266700746,3.043727260671443
1978-03-31,-0.00162815775451719,-0.004821868437077548,0.1807411676356201,0.1880071576913252,,-1.0,-1.0,0.09220009096571946,0.09330246988993895,1.0,1.0,0.17440453673175593,0.17463794586686188,1.0,1.0,0.20954152802804238,0.20818272799927318,1.0,1.0,-0.0005346164254573793,-0.000542397630946212,-1.0,-1.0,0.1183173664198307,0.11850590160893582,1.0,1.0,0.31937648682374675,0.3158868513665949,1.0,1.0,,-0.10809874313524016,-0.30776711884518
1978-04-30,-0.07615745060244805,-0.0752653796903342,0.2137140249825543,0.2176647860224263,,-1.0,-1.0,-0.03527100536204131,-0.03456565191737759,-1.0,-1.0,0.04743034796903789,0.04741367444141886,1.0,1.0,0.14559828060748803,0.1421093964634519,1.0,1.0,0.0005369127645762362,-0.0021751449399092238,1.0,-1.0,0.17088874558310518,0.16855709358499205,1.0,1.0,0.2695268522042049,0.2630742960209549,1.0,1.0,,-4.276225705374172,-4.149428912175781
1978-05-31,0.07724321072601903,0.07955263170195437,0.18973733706213114,0.19690063334472735,,1.0,1.0,-0.0005346164254573793,-0.000542397630946212,-1.0,-1.0,0.14166214233404162,0.1401418650459183,1.0,1.0,0.25921415107476165,0.2502298457539096,1.0,1.0,0.1792285715329056,0.1768356439183485,1.0,1.0,0.3488855654855385,0.3688513411472254,1.0,1.0,0.38420223741043813,0.37893410464720834,1.0,1.0,,4.8852721507770545,4.848291060354864
1978-06-30,-0.0032609050634802017,-0.0037503392470439323,0.15499529455081623,0.15820291422259325,,-1.0,-1.0,0.0005369127645762362,-0.0021751449399092238,1.0,-1.0,0.0927370037302957,0.09112732495002973,1.0,1.0,0.25200479765592654,0.24627227749325264,1.0,1.0,0.11885198284528808,0.11904829923988203,1.0,1.0,0.04904477906577842,0.04716102529688193,1.0,1.0,0.4076018610578993,0.40673029943732697,1.0,1.0,,-0.2524648304657604,-0.28447055596716736
