test_date,train_end,calib_start,calib_end,best_alpha,forecast,realized,calib_error,hist_mean,SSE_forecast,SSE_hist,row_num,Cum_SSE_forecast,Cum_SSE_hist,RMSE_forecast,RMSE_hist,RMSE_diff,Cum_RMSE_diff,R_Sq_OOS
2018-08-31,2013-07-31,2013-08-31,2018-07-31,54.62277217684337,-0.7377204958325074,-0.6901583925891864,0.3178168640214832,-0.28872321774152915,0.0022621536649283258,0.16115019960496918,272,151.1473907885695,302.41860862747285,0.0028838761095403643,0.024340582760811545,0.021456706651271182,8.830026193214637,0.5002047278950456
2018-09-30,2013-08-31,2013-09-30,2018-08-31,54.62277217684337,-0.7805389441813044,-0.36460368198771115,0.31770974960373993,-0.23418131247292043,0.17300214233605318,0.017009994469852612,273,151.32039293090557,302.4356186219427,0.02517354724873799,0.007893520890625562,-0.017280026358112426,8.812746166856526,0.4996608084047718
2018-10-31,2013-09-30,2013-10-31,2018-09-30,54.62277217684337,0.6881226961823823,0.7164111247223938,0.3206066652927924,-0.15018928127982442,0.0008002351892633347,0.7509962636832095,274,151.32119316609484,303.1866148856259,0.0017089664666612842,0.05235324513548413,0.050644278668822845,8.863390445525347,0.5008975141492336
2018-11-30,2013-10-31,2013-11-30,2018-10-31,54.62277217684337,0.6883167468879724,0.09433331330301417,0.3130320110807928,-0.14482865094644606,0.35281631937337643,0.0571984451436601,275,151.67400948546822,303.24381333076957,0.0358185487434235,0.014422009082542759,-0.021396539660880745,8.841993905864467,0.49982818175411015
2018-12-31,2013-11-30,2013-12-31,2018-11-30,54.62277217684337,0.684269946628677,1.4280591532140043,0.31863431985926854,-0.10285413834872754,0.5532223838328307,2.343695506283438,276,152.22723186930105,305.587508837053,0.04477084907538103,0.0921501513025612,0.04737930222718017,8.889373208091648,0.5018538799291288
2019-01-31,2013-12-31,2014-01-31,2018-12-31,45.34878508128582,0.791296191678347,0.9081987402152718,0.3277658605723018,-0.08425608919023482,0.013666205854428067,0.9849665884103134,277,152.24089807515549,306.5724754254633,0.007023993396137428,0.05963083144853012,0.05260683805239269,8.94198004614404,0.5034097635024979
2019-02-28,2014-01-31,2014-02-28,2019-01-31,45.34878508128582,-0.699671298655696,-0.11251456530055125,0.3274765227734087,-0.04880650872823364,0.34475302952428455,0.004058716472221621,278,152.58565110467976,306.57653414193555,0.03521532068913236,0.003820955317766166,-0.03139436537136619,8.910585680772673,0.5022918126080802
2019-03-31,2014-02-28,2014-03-31,2019-02-28,54.62277217684337,-0.6817667050063807,-0.7744878732451193,0.3280054568394713,-0.11825994881701389,0.008597215039556459,0.4306350887992192,279,152.5942483197193,307.00716923073475,0.005551071141931348,0.039287338188437826,0.03373626704650648,8.94432194781918,0.502961938308889
2019-04-30,2014-03-31,2014-04-30,2019-03-31,54.62277217684337,-0.6829965457675176,-0.23765210402208253,0.32780542777771654,-0.13146702276203379,0.19833167179355318,0.011275271482203156,280,152.79257999151287,307.01844450221694,0.02661442088910991,0.006345772350325383,-0.020268648538784528,8.924053299280395,0.5023341993695445
2019-05-31,2014-04-30,2014-05-31,2019-04-30,45.34878508128582,0.8025597506650092,0.4625622573931193,0.3254738343701096,-0.05068329225256476,0.11559829543116881,0.2634209942311003,281,152.90817828694404,307.28186549644806,0.020282549994382414,0.03061766255952433,0.010335112565141916,8.934388411845537,0.5023846329496084
2019-06-30,2014-05-31,2014-06-30,2019-05-31,54.62277217684337,0.6928191191056264,2.844805314045512,0.32695722491521667,0.2807908144612649,4.631044583211847,6.574170354078257,282,157.53922287015587,313.8560358505263,0.12814891303518242,0.15268484152025288,0.02453592848507047,8.958924340330608,0.49805259458134554
2019-07-31,2014-06-30,2014-07-31,2019-06-30,37.64935806792467,0.7475375929544491,0.21752445159926326,0.39073861651378755,0.374373144778994,0.28091393000919224,0.02460151255218932,283,157.82013680016507,313.8806373630785,0.03150601098120287,0.009323687026085029,-0.022182323955117843,8.93674201637549,0.49719696593578633
2019-08-31,2014-07-31,2014-08-31,2019-07-31,45.34878508128582,0.8361835369355133,1.8821238841906838,0.39536637415158515,0.5887300011773166,1.0939912100162665,1.6728677366163962,284,158.91412801018134,315.5535050996949,0.062065140984367294,0.07674880685901954,0.014683665874652245,8.951425682250143,0.49639561772582896
2019-09-30,2014-08-31,2014-09-30,2019-08-31,31.25715849688235,-0.674658729894851,-1.1033202735901397,0.4030269445857145,0.5271702852104475,0.18375071904322796,2.658499462337851,285,159.09787872922456,318.21200456203275,0.025391718434638444,0.09658192527023232,0.07119020683559388,9.022615889085737,0.5000255287408248
2019-10-31,2014-09-30,2014-10-31,2019-09-30,31.25715849688235,0.8603407810700684,0.8320998763352202,0.3917531130761376,0.5368110145115164,0.0007975487002427711,0.08719551191713847,286,159.09867627792482,318.2992000739499,0.0016699197043662513,0.017460796439386347,0.015790876735020096,9.038406765820756,0.500159987078316
2019-11-30,2014-10-31,2014-11-30,2019-10-31,37.64935806792467,-0.6686545396311774,-0.8553815004163254,0.3898575072246996,0.4576681133682381,0.03486695788405822,1.7240992882597914,287,159.13354323580887,320.0232993622097,0.011022143989832787,0.07750686803915954,0.06648472404932676,9.104891489870083,0.5027438828580482
2019-12-31,2014-11-30,2014-12-31,2019-11-30,25.950242113997348,0.8669120480236847,1.0011810954697238,0.3837798269017622,0.42209494188954794,0.01802817710206669,0.33534077326828304,288,159.15157141291093,320.35864013547797,0.007911879496046043,0.03412297884064807,0.02621109934460203,9.131102589214686,0.5032081190455592
2020-01-31,2014-12-31,2015-01-31,2019-12-31,17.886495290574334,0.7853000696561755,1.1367493565642275,0.3792716717326783,0.44114082658529435,0.12351660126817825,0.4838712269794524,289,159.27508801417912,320.8425113624574,0.02067348746517953,0.04091814882229019,0.020244661357110658,9.151347250571796,0.5035723684563569
2020-02-29,2015-01-31,2015-02-28,2020-01-31,25.950242113997348,-0.6860614456714463,-0.3580629129912054,0.36536018400811526,0.42067846427773975,0.10758303744039108,0.6064381326707334,290,159.3826710516195,321.44894949512815,0.019260737036099172,0.045729268250505245,0.026468531214406073,9.177815781786203,0.5041742357473933
2020-03-31,2015-02-28,2015-03-31,2020-02-29,31.25715849688235,0.8629162505427658,0.4600940592078999,0.3658094791560918,0.5235602919821581,0.16226571783182328,0.004027962702556329,291,159.54493676945134,321.4529774578307,0.02361385505640327,0.003720456454350179,-0.01989339860205309,9.157922383184149,0.5036756603370364
2020-04-30,2015-03-31,2015-04-30,2020-03-31,37.64935806792467,0.851844018340108,0.8521402022530258,0.36794926890711177,0.6143763175050838,8.772491027126743e-08,0.05653166489043263,292,159.54493685717622,321.50950912272117,1.7332852474465963e-05,0.01391407891635385,0.013896746063879384,9.171819129248028,0.503762929773012
2020-05-31,2015-04-30,2015-05-31,2020-04-30,25.950242113997348,0.867462087119479,0.3143470141194253,0.35730155636957905,0.602025047232276,0.30593628397985484,0.08275865073567844,293,159.8508731411561,321.5922677734568,0.032313327588829134,0.016806330143320242,-0.015506997445508892,9.156312131802519,0.5029393142817669
2020-06-30,2015-05-31,2015-06-30,2020-05-31,21.54434690031882,0.8699663329464777,0.4260850312209604,0.3567478842108876,0.40046502366356335,0.19703061002153974,0.0006563847872410832,294,160.04790375117764,321.59292415824405,0.025887683228330943,0.0014941891838540866,-0.024393494044476854,9.131918637758043,0.5023276579542404
2020-07-31,2015-06-30,2015-07-31,2020-06-30,21.54434690031882,0.8671705364437559,1.3068674848756638,0.35656042890523193,0.49124360976993003,0.19333340646033195,0.6652423056424938,295,160.24123715763795,322.25816646388654,0.025600146084086103,0.04748745795675838,0.021887311872672274,9.153805949630716,0.502755077036674
2020-08-31,2015-07-31,2015-08-31,2020-07-31,25.950242113997348,0.8640006132707011,0.04357823889281024,0.3465157479305787,0.3380314726617739,0.6730928723798562,0.08670270687699995,296,160.91433003001782,322.34486917076356,0.04768608189701376,0.017114746573061928,-0.030571335323951832,9.123234614306764,0.5008007093645632
2020-09-30,2015-08-31,2015-09-30,2020-08-31,37.64935806792467,-0.6721406963891182,-0.7204524548202932,0.35740093417292523,0.3699371242259278,0.0023340260027122054,1.188949434092595,297,160.91666405602052,323.53381860485615,0.00280333255426562,0.06327082066629541,0.060467488112029795,9.183702102418794,0.5026279949653301
2020-10-31,2015-09-30,2015-10-31,2020-09-30,31.25715849688235,-0.6815946282128745,-0.07421796859136766,0.35439630072386,0.29441063714871213,0.36890640665297986,0.13588704896987516,298,161.28557046267352,323.66970565382604,0.03518438520029519,0.021354081778988815,-0.013830303421306374,9.169871798997486,0.5016970459534664
